155.210.154.194:1756118:47:53.543174 raft.go:161: logger initialized
155.210.154.194:1756118:47:53.543300 raft.go:88: Réplica 0: comienza la ejecución
155.210.154.194:1756118:47:58.708400 raftAppendEntries.go:51: Réplica 0: 0 entrada(s) de log recibidas de 2
155.210.154.194:1756118:47:58.760591 raftAppendEntries.go:51: Réplica 0: 0 entrada(s) de log recibidas de 2
155.210.154.194:1756118:47:58.812408 raftAppendEntries.go:51: Réplica 0: 0 entrada(s) de log recibidas de 2
155.210.154.194:1756118:47:58.864296 raftAppendEntries.go:51: Réplica 0: 0 entrada(s) de log recibidas de 2
155.210.154.194:1756118:47:58.916392 raftAppendEntries.go:51: Réplica 0: 0 entrada(s) de log recibidas de 2
155.210.154.194:1756118:47:58.968743 raftAppendEntries.go:51: Réplica 0: 0 entrada(s) de log recibidas de 2
155.210.154.194:1756118:47:59.020134 raftAppendEntries.go:51: Réplica 0: 0 entrada(s) de log recibidas de 2
155.210.154.194:1756118:47:59.072072 raftAppendEntries.go:51: Réplica 0: 0 entrada(s) de log recibidas de 2
155.210.154.194:1756118:47:59.123979 raftAppendEntries.go:51: Réplica 0: 0 entrada(s) de log recibidas de 2
155.210.154.194:1756118:47:59.176152 raftAppendEntries.go:51: Réplica 0: 0 entrada(s) de log recibidas de 2
155.210.154.194:1756118:47:59.228311 raftAppendEntries.go:51: Réplica 0: 0 entrada(s) de log recibidas de 2
155.210.154.194:1756118:47:59.280677 raftAppendEntries.go:51: Réplica 0: 0 entrada(s) de log recibidas de 2
155.210.154.194:1756118:47:59.332646 raftAppendEntries.go:51: Réplica 0: 0 entrada(s) de log recibidas de 2
155.210.154.194:1756118:47:59.384909 raftAppendEntries.go:51: Réplica 0: 0 entrada(s) de log recibidas de 2
155.210.154.194:1756118:47:59.437321 raftAppendEntries.go:51: Réplica 0: 0 entrada(s) de log recibidas de 2
155.210.154.194:1756118:47:59.489677 raftAppendEntries.go:51: Réplica 0: 0 entrada(s) de log recibidas de 2
155.210.154.194:1756118:47:59.540894 raftAppendEntries.go:51: Réplica 0: 0 entrada(s) de log recibidas de 2
155.210.154.194:1756118:47:59.592997 raftAppendEntries.go:51: Réplica 0: 0 entrada(s) de log recibidas de 2
155.210.154.194:1756118:47:59.645400 raftAppendEntries.go:51: Réplica 0: 0 entrada(s) de log recibidas de 2
155.210.154.194:1756118:47:59.697741 raftAppendEntries.go:51: Réplica 0: 0 entrada(s) de log recibidas de 2
155.210.154.194:1756118:47:59.749965 raftAppendEntries.go:51: Réplica 0: 0 entrada(s) de log recibidas de 2
155.210.154.194:1756118:47:59.801595 raftAppendEntries.go:51: Réplica 0: 0 entrada(s) de log recibidas de 2
155.210.154.194:1756118:47:59.853851 raftAppendEntries.go:51: Réplica 0: 0 entrada(s) de log recibidas de 2
155.210.154.194:1756118:47:59.906047 raftAppendEntries.go:51: Réplica 0: 0 entrada(s) de log recibidas de 2
155.210.154.194:1756118:47:59.958058 raftAppendEntries.go:51: Réplica 0: 0 entrada(s) de log recibidas de 2
155.210.154.194:1756118:48:00.009497 raftAppendEntries.go:51: Réplica 0: 0 entrada(s) de log recibidas de 2
155.210.154.194:1756118:48:00.061354 raftAppendEntries.go:51: Réplica 0: 0 entrada(s) de log recibidas de 2
155.210.154.194:1756118:48:00.112878 raftAppendEntries.go:51: Réplica 0: 0 entrada(s) de log recibidas de 2
155.210.154.194:1756118:48:00.164943 raftAppendEntries.go:51: Réplica 0: 0 entrada(s) de log recibidas de 2
155.210.154.194:1756118:48:00.217172 raftAppendEntries.go:51: Réplica 0: 0 entrada(s) de log recibidas de 2
155.210.154.194:1756118:48:00.269450 raftAppendEntries.go:51: Réplica 0: 0 entrada(s) de log recibidas de 2
155.210.154.194:1756118:48:00.321665 raftAppendEntries.go:51: Réplica 0: 0 entrada(s) de log recibidas de 2
155.210.154.194:1756118:48:00.373892 raftAppendEntries.go:51: Réplica 0: 0 entrada(s) de log recibidas de 2
155.210.154.194:1756118:48:00.425853 raftAppendEntries.go:51: Réplica 0: 0 entrada(s) de log recibidas de 2
155.210.154.194:1756118:48:00.478090 raftAppendEntries.go:51: Réplica 0: 0 entrada(s) de log recibidas de 2
155.210.154.194:1756118:48:00.530267 raftAppendEntries.go:51: Réplica 0: 0 entrada(s) de log recibidas de 2
155.210.154.194:1756118:48:00.581953 raftAppendEntries.go:51: Réplica 0: 0 entrada(s) de log recibidas de 2
155.210.154.194:1756118:48:00.634027 raftAppendEntries.go:51: Réplica 0: 0 entrada(s) de log recibidas de 2
155.210.154.194:1756118:48:00.686402 raftAppendEntries.go:51: Réplica 0: 0 entrada(s) de log recibidas de 2
155.210.154.194:1756118:48:00.738615 raftAppendEntries.go:51: Réplica 0: 0 entrada(s) de log recibidas de 2
155.210.154.194:1756118:48:00.790832 raftAppendEntries.go:51: Réplica 0: 0 entrada(s) de log recibidas de 2
155.210.154.194:1756118:48:00.842938 raftAppendEntries.go:51: Réplica 0: 0 entrada(s) de log recibidas de 2
155.210.154.194:1756118:48:00.895286 raftAppendEntries.go:51: Réplica 0: 0 entrada(s) de log recibidas de 2
155.210.154.194:1756118:48:00.947558 raftAppendEntries.go:51: Réplica 0: 0 entrada(s) de log recibidas de 2
155.210.154.194:1756118:48:00.999796 raftAppendEntries.go:51: Réplica 0: 0 entrada(s) de log recibidas de 2
155.210.154.194:1756118:48:01.051946 raftAppendEntries.go:51: Réplica 0: 0 entrada(s) de log recibidas de 2
155.210.154.194:1756118:48:01.104133 raftAppendEntries.go:51: Réplica 0: 0 entrada(s) de log recibidas de 2
155.210.154.194:1756118:48:01.156390 raftAppendEntries.go:51: Réplica 0: 0 entrada(s) de log recibidas de 2
155.210.154.194:1756118:48:01.208699 raftAppendEntries.go:51: Réplica 0: 0 entrada(s) de log recibidas de 2
155.210.154.194:1756118:48:01.260777 raftAppendEntries.go:51: Réplica 0: 0 entrada(s) de log recibidas de 2
155.210.154.194:1756118:48:01.312942 raftAppendEntries.go:51: Réplica 0: 0 entrada(s) de log recibidas de 2
155.210.154.194:1756118:48:01.365005 raftAppendEntries.go:51: Réplica 0: 0 entrada(s) de log recibidas de 2
155.210.154.194:1756118:48:01.417226 raftAppendEntries.go:51: Réplica 0: 0 entrada(s) de log recibidas de 2
155.210.154.194:1756118:48:01.469302 raftAppendEntries.go:51: Réplica 0: 0 entrada(s) de log recibidas de 2
155.210.154.194:1756118:48:01.521530 raftAppendEntries.go:51: Réplica 0: 0 entrada(s) de log recibidas de 2
155.210.154.194:1756118:48:01.573815 raftAppendEntries.go:51: Réplica 0: 0 entrada(s) de log recibidas de 2
155.210.154.194:1756118:48:01.625878 raftAppendEntries.go:51: Réplica 0: 0 entrada(s) de log recibidas de 2
155.210.154.194:1756118:48:01.678091 raftAppendEntries.go:51: Réplica 0: 0 entrada(s) de log recibidas de 2
155.210.154.194:1756118:48:01.731249 raftAppendEntries.go:51: Réplica 0: 0 entrada(s) de log recibidas de 2
155.210.154.194:1756118:48:01.782806 raftAppendEntries.go:51: Réplica 0: 0 entrada(s) de log recibidas de 2
155.210.154.194:1756118:48:01.834684 raftAppendEntries.go:51: Réplica 0: 0 entrada(s) de log recibidas de 2
155.210.154.194:1756118:48:01.886655 raftAppendEntries.go:51: Réplica 0: 0 entrada(s) de log recibidas de 2
155.210.154.194:1756118:48:01.938937 raftAppendEntries.go:51: Réplica 0: 0 entrada(s) de log recibidas de 2
155.210.154.194:1756118:48:01.990805 raftAppendEntries.go:51: Réplica 0: 0 entrada(s) de log recibidas de 2
155.210.154.194:1756118:48:02.042872 raftAppendEntries.go:51: Réplica 0: 0 entrada(s) de log recibidas de 2
155.210.154.194:1756118:48:02.094970 raftAppendEntries.go:51: Réplica 0: 0 entrada(s) de log recibidas de 2
155.210.154.194:1756118:48:02.146152 raftAppendEntries.go:51: Réplica 0: 0 entrada(s) de log recibidas de 2
155.210.154.194:1756118:48:02.198417 raftAppendEntries.go:51: Réplica 0: 0 entrada(s) de log recibidas de 2
155.210.154.194:1756118:48:02.250659 raftAppendEntries.go:51: Réplica 0: 0 entrada(s) de log recibidas de 2
155.210.154.194:1756118:48:02.303360 raftAppendEntries.go:51: Réplica 0: 0 entrada(s) de log recibidas de 2
155.210.154.194:1756118:48:02.355600 raftAppendEntries.go:51: Réplica 0: 0 entrada(s) de log recibidas de 2
155.210.154.194:1756118:48:02.407856 raftAppendEntries.go:51: Réplica 0: 0 entrada(s) de log recibidas de 2
155.210.154.194:1756118:48:02.459955 raftAppendEntries.go:51: Réplica 0: 0 entrada(s) de log recibidas de 2
155.210.154.194:1756118:48:02.511931 raftAppendEntries.go:51: Réplica 0: 0 entrada(s) de log recibidas de 2
155.210.154.194:1756118:48:02.563387 raftAppendEntries.go:51: Réplica 0: 0 entrada(s) de log recibidas de 2
155.210.154.194:1756118:48:02.615595 raftAppendEntries.go:51: Réplica 0: 0 entrada(s) de log recibidas de 2
155.210.154.194:1756118:48:02.667695 raftAppendEntries.go:51: Réplica 0: 0 entrada(s) de log recibidas de 2
155.210.154.194:1756118:48:02.719659 raftAppendEntries.go:51: Réplica 0: 0 entrada(s) de log recibidas de 2
155.210.154.194:1756118:48:02.771872 raftAppendEntries.go:51: Réplica 0: 0 entrada(s) de log recibidas de 2
155.210.154.194:1756118:48:02.823886 raftAppendEntries.go:51: Réplica 0: 0 entrada(s) de log recibidas de 2
155.210.154.194:1756118:48:02.875919 raftAppendEntries.go:51: Réplica 0: 0 entrada(s) de log recibidas de 2
155.210.154.194:1756118:48:02.927808 raftAppendEntries.go:51: Réplica 0: 0 entrada(s) de log recibidas de 2
155.210.154.194:1756118:48:02.979156 raftAppendEntries.go:51: Réplica 0: 0 entrada(s) de log recibidas de 2
155.210.154.194:1756118:48:03.031469 raftAppendEntries.go:51: Réplica 0: 0 entrada(s) de log recibidas de 2
155.210.154.194:1756118:48:03.083563 raftAppendEntries.go:51: Réplica 0: 0 entrada(s) de log recibidas de 2
155.210.154.194:1756118:48:03.135641 raftAppendEntries.go:51: Réplica 0: 0 entrada(s) de log recibidas de 2
155.210.154.194:1756118:48:03.187813 raftAppendEntries.go:51: Réplica 0: 0 entrada(s) de log recibidas de 2
155.210.154.194:1756118:48:03.239432 raftAppendEntries.go:51: Réplica 0: 0 entrada(s) de log recibidas de 2
155.210.154.194:1756118:48:03.291686 raftAppendEntries.go:51: Réplica 0: 0 entrada(s) de log recibidas de 2
155.210.154.194:1756118:48:03.343890 raftAppendEntries.go:51: Réplica 0: 0 entrada(s) de log recibidas de 2
155.210.154.194:1756118:48:03.395817 raftAppendEntries.go:51: Réplica 0: 0 entrada(s) de log recibidas de 2
155.210.154.194:1756118:48:03.448111 raftAppendEntries.go:51: Réplica 0: 0 entrada(s) de log recibidas de 2
155.210.154.194:1756118:48:03.500108 raftAppendEntries.go:51: Réplica 0: 0 entrada(s) de log recibidas de 2
155.210.154.194:1756118:48:03.552254 raftAppendEntries.go:51: Réplica 0: 0 entrada(s) de log recibidas de 2
155.210.154.194:1756118:48:03.604091 raftAppendEntries.go:51: Réplica 0: 0 entrada(s) de log recibidas de 2
155.210.154.194:1756118:48:03.656454 raftAppendEntries.go:51: Réplica 0: 0 entrada(s) de log recibidas de 2
155.210.154.194:1756118:48:03.708736 raftAppendEntries.go:51: Réplica 0: 0 entrada(s) de log recibidas de 2
